关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
9-9-1-22-880150883,400014,130,63,48.46,DczHDcJAFADRn8Mmr3uiGkQJlOGefEFU4gp8gb2O9EZe+/O6j9/n/QAkJgYUNXbzoCwoUbO59hG6ZTcQ6zM31ekaudK0ahhag8h5pI9whqU1BNapJDIBg5m34EZASCUFEc7vHw==,80,120,40.00,108.0,3750,108
7-6-4-14-1897153654,100087,130,55,42.31,BcFJEQJADATASTb3wQ9hmOCFCISgg0ICfjBAt9wv19vz/fi9XyAiEPgIK+sRwjFXDfdUTRcohbNUC88e1gCgqW1E29uY6QptJwvIScNiaqo2p4JI0+ws4fv5Aw==,196,4,98.00,102.0,1642,102
7-7-4-21-397236317,100064,129,33,25.58,Fc3JEQIxDABByZYlW77kgypiIBYyIQYIhDQgvH2w1Px76HX5PO19/94OQHD4DzwRBM/gJFCMEXwShZg5gS9aWVzrNTGmrEaSa1eTkZubsvoMOHdh49JS4TBS2cHa1FyQAwlJ5Ha65nz0S9tcG/OYdk4f1x8=,103,97,51.50,126.0,3182,126
8-6-9-12-1451689780,100020,129,45,34.88,DchJEYBADATATI7NhQbEUHhBHx9sUKwi9tmtx3Zecz63fQRiYbUBiBNZZGWWcnFHLBKsWcp1GFwKga5VyZKRoxtC+/sD,173,27,86.50,66.0,186,66
7-4-1-15-1194753862,100090,129,78,60.47,DYi7EYRQDAMlW/b7kV50RdDCtXApnTFDG5RCP1jB7qz03+79+V6f3wmC5jAaJRMJhUN1VyKiAnBEmrksWDNmZrTso5XaHIU1u4++phaO+wU=,169,31,84.50,81.0,1039,81
7-3-4-20-632127490,100052,129,14,10.85,BcG5EQIxDABAvZYlf7KPGVoloRRiGqAcYupgVx43mffX8/P+ARILAwuCKJNSseoqDk7iKBygiK2PphrdjWB2UMGCTchLzBWLcvdTiPc1WorWcbYx2rh6q4onRw5jKi17BkAsu2Zh+Mof,152,48,76.00,120.0,976,120
7-7-4-21-1862221973,100064,129,44,34.11,BcFHAQIwDADArDbpTgcm0IIlsMAfAwgAeTy4k8flc/fX7Xv9AQIRAwoxEUCIENUwEAmmXDhUbSKp9WzatFfSMtwMc0lVfQ6TuvZpyKXkVWF7Hmpnpxx1+pglEGpoMQAiS3eDWJMPG3ZaWpHh/fwD,116,84,58.00,126.0,2046,126
3-5-4-14-1173138151,100074,129,91,70.54,YzHjO7RxxS+PF/smMDAyMbOwsrFzMDJysLOxsbKxMTNxcnFz87Dz8HLzsHJxsrIDpRm4eHk5OdiZGJjZWFmAyhi2LQEA,182,18,91.00,54.0,113,54
2-9-7-11-1713481379,200003,129,58,44.96,Y9HiMjo2L70p+KILAyMTIwMjMwsjKyMbOzMDBycnOyc7IzszKzsLKwM7IxMbBwcbUAUDIwvD2hIA,200,0,100.00,42.0,100,42
7-2-1-17-912145024,100081,129,19,14.73,HcY7EkBQEATAmd3Z95e7jVTiUkomdTXXUZSoW+s0P/e+LQdBwFyfDP11Jsslqswj2BCRxU52oA0au3IZo7F4FSwlVIeE63wB,74,126,37.00,72.0,861,72
6-2-2-22-1822867831,100086,128,24,18.75,Dcq5AQIxDABBSdbjO/8fBZBCTGfUQA80QkXXB442mOX37ZqP1/37/AESOhZhJVQzFWMhYUM0BcCdTchOicwR+MMdfEqIyQjEx8C5FO+wltqEolfDrin1NHDOVv3ad84nreXbDDpSh+ESfMYf,189,11,94.50,117.0,1456,117
3-8-5-15-1468565159,200013,128,64,50,BcFJEYBADATAXDuTvfhgACFUoQIrqOCDD+zgh+44lofnul/3J2oeBQSzNsKte5XBYhicygkr2lHVPUymJrxxdG1IEhayvT8=,165,35,82.50,63.0,174,63
4-1-2-14-1340561056,100085,128,65,50.78,DcWxEQIxDATAO51sS7JN9ENG9C19LQTURiGUQgibrF+3++d7nM/HCzTK5DTA/J8LrbM7aTJwtDF6ZNmccjm09m4RhaygprFiJTOrtBc8w0Hg/QM=,200,0,100.00,84.0,1221,84
8-6-2-13-2137083077,200010,128,63,49.22,DcixEYAwDANAWVHsxExEQUmZ0ZiCaaiYgTGoIN3fa132dzvv57tgIIlC2JSpSh5EA0PsXpXu2QugLGZsmtXD1TCOHw==,200,0,100.00,57.0,302,57
7-9-3-18-80578425,100096,128,26,20.31,BcG3AUIxDAXAp2AFy4nmbwAVNYMwASXzMhF3+rldr+v5u7+/IDCJQFgbA2qu1hwamr3aSC+KaZ42s4ZbwoMyllf1gESEJXPR2o5+zrDINbfaPiLOaYTH/AM=,143,57,71.50,96.0,1828,96
5-5-9-15-1074031921,100013,128,45,35.16,DcW7FYAwCAXQFyCQD8RBLF3C1p0cyGk8xynsrcxtruzLu92rXseJBGLJaqDCQLXWZ+xasrjDIjAmjzAiSK7aOlK1GMQjmNwtoZeG7/kB,119,81,59.50,72.0,208,72
6-6-2-15-1365170985,100075,128,20,15.63,Fca5EYNQDAXAp1v6B5VQCUPocRNOnFEJNbkANwRstPpaPv/tfX73A8RCzKRirv7EHASlIBJYliGAsgoLmGTx3TQIhzdvyj0zeUifs3vRHEMbfusF,52,148,26.00,84.0,2398,84
7-9-7-21-163881222,100094,128,56,43.75,Fce5EQIxDEBR+ZAt2ZLli5yAlKpogk6IKIF66GJrYJn5wfvxcXl/r6/b867gfAjBgY+YMsKpgDFT5FJB1J2rKTE36//IupI4Iax9FBxzjjVRtzH7LIxbVFej1s362o2kVET4HD8=,183,17,91.50,99.0,799,99
6-9-3-15-822608128,100013,128,75,58.59,DYw5EYBQDAVzvCT/xAglJmhp0YMgRKABG1ggzRY7s4t9+bZ39fu4iIVYFUbEHiSwEqlCTCxqc9TW1fpI8AwncOFsNMbUNjBLheRB6Hx+,192,8,96.00,72.0,309,72
1-4-2-15-360915791,100047,128,65,50.78,DcpJEYAwEATATWb2SoIFBCAADVQhAz888IEaTCADfv1obtP6Xsdy77OIlFoBFBaqoprSwxNqER6AMrN179Tf1scYmZEAqWHe2v/NCTmfDw==,191,9,95.50,72.0,1364,72
1-1-1-14-780508103,100066,127,50,39.37,Dcq7EQIxDEVRydbvyRLxFkQHxFvEZlRFCZTEEFAAzs7cuXLe7s/34/O7XsRMPCYLyWRm2d6aosY+QiEzc7j6KmtUAiPMsVZY50B3BRqqRL6bWhvSUVUr9kvf4w8=,178,22,89.00,93.0,1540,93
1-5-2-25-1984696651,100063,127,30,23.62,BcE5EgIwCADAHBBIgIQcPsrK0tYZH2Jv5+esfIy78Lz8vtfb/fF5h5hyCBCxIDHWJkktJyYpan1Er6Nmm6gqXEQZXdraDWbHAkYoiESG2vd0WGc5jHNAfJszUykoguFFfw==,163,37,81.50,99.0,1176,99
9-4-7-17-1917687425,100070,127,56,44.09,Dc1JAQIxDADAnE26SZquAxAAD/RgA2E8kYMTGAMjr/Pxvdyvz9sbkAgBGYQVhpGrzUN9hNg47MBIlym1LLtljJlpmrFHra4VwRktWJlMy1fv2BlrK/kORIBm1f8ARAW+CRWUCwDm5wc=,180,20,90.00,117.0,3383,117
6-8-9-16-830980906,100087,127,36,28.35,FcS7FcIwDABA2bL+kkXDYCxBlSEyCCNQZyhaFuBxxa3n7f44r+N7vWBMBFhIPCYJ/EcBUFy0hs0hrsIWKVFFu5O9Ocud9k4q7WDHGI06rVSFYmsSp0X3dt3TmNUK3p8f,85,115,42.50,102.0,1246,102
9-1-6-17-1120475170,100048,127,43,33.86,FcuxDYAwDARA+/1xHCdIjEJLy0pMxAoMQckozADUp+M2XfOZ93LsojCChBavHh7SmrFGRu3eXUeogZDWR+YooFGEMNMvhPy0Pi8=,120,80,60.00,66.0,528,66
8-6-6-21-1795695117,100089,127,43,33.86,Fci7FUIhDADQACGQ8AkQLBzF4wQOY+MSdo7lNg5g57O75+LjdPs+r5fz6wPgfECPMZALREDpH5mlxOqx9eNaaAAK0HwFX5u6HKi5VMqBjAPL7IuJRG3nNSdnHpbYZLHsmAy7BrUiRSXtZAPu7x8=,197,3,98.50,114.0,1026,114
9-5-1-13-368559355,200015,126,85,67.46,Dcq5DYAwEATA3b3HPhpBQiIlcIBERjkUQ2kUhLMJxo9lvd/vOfcNFEz0UGRz9DCbtgTK0J3FLsBLzBaaQwoarvED,200,0,100.00,54.0,270,54
7-9-7-17-2021268411,100063,126,31,24.6,DcS5EQIxDABAvbYsS7KvLCJCUmaoBjL6oB4iiuE2WHkcv+/leru/X4CEDEKsrTPagO6TOJIiaiyB2tWSDfQk01llmxnt8qaBkSgxsu81zOXcx1pbylehaE4lSIHP8w8=,77,123,38.50,99.0,896,99
7-4-2-12-890590960,200015,126,60,47.62,Hcc5DYBQEAXA9/b4eyCEhISWkhoTeEAMNnCDIBKmG9um+bjfa18XkISIguaDFgJNsajo/qvsIDw5qjTSVU0MOJ8P,199,1,99.50,54.0,233,54
5-1-2-16-1664513102,100085,126,108,85.71,DcyxEQIxDETRlbSyZVv2JQzZRdcSKW0QUAfFUQohnp+94PNx3L+/2/U63xA1qimcLmIstaIGWye2umCkz2itu3EnUkbmHAs+s8NUWYLIWEsi9yxUDM/PHw==,185,15,92.50,84.0,855,84
7-5-3-21-213695352,100076,126,29,23.02,BcE3AUJRDADA9OT1xooFBLEyYYYJZQj4WriT5+26n+v3eL8AEAhYFIBMHEFDE1hA5FKboPTBqEhIaXbXXAbN6dHMhBdbs7XPrq6bxEsO7/XESocHw/fzBw==,68,132,34.00,90.0,416,90
4-9-6-14-228279353,400012,126,44,34.92,DczJDQJBDARAX23P+OC9AWwYEBASEokg0iMd9l8qe90e9+Pze55fYlFREzgZXDkYJi7utnR7ZGGXruqYaHYwOgK5UYPOqZrJ3Lsv4nspYrVramlMhS9AlYnIr92E3ucf,149,51,74.50,108.0,1441,108
7-7-8-19-730839492,100086,126,28,22.22,DcTJDQIxDEDRLF6zOLGhAq5wpjNqQaIRGqAV+pj5T/rwuvyv9+ft8/imXE61AmJOCJm4cpJCgqBYc8XWlUSlNabWx5w257LNy3sfY5qeG412Z4vtHuqViy6zVmzTWiAmtqH0WAERvj2dvX8H,116,84,58.00,117.0,1269,117
8-5-9-13-822468620,100081,126,50,39.68,Dcq5DYAwEAXRv97De5iciJguSEloCtEi7SAsTfCCkXNZv/e+jocAosbMoImZMNS6eSRploPZWjWSIajKDC9zt6gU0SE6z645FNi3Hw==,130,70,65.00,72.0,828,72
9-1-6-22-423181991,100083,125,55,44,HcPJDcJADAXQ72XG41lNCbQQKV1w5EQ1SCkjJaWhHJF40tPP49yv4/26vyCwaMpsRiiuuTannk2GzGVR20jaClOEm/0PMg8HSk0KIhXE6ugzhMPZ13QIKxGe2w8=,192,8,96.00,90.0,753,90
7-2-4-22-1752581290,400017,125,20,16,DcmpAQIxEADAffNfkt2EDlB4OkLh0TRBN3SApx8YO/I4ve/Py+11/gACEgOyCCmRCAYCRVblKP8hVeCUpVTg0A6Vow9ILYQRWGZGi4alHtR66MOgmhfqnXUsWduXz9w9ue0954xoU4fDgO/1Bw==,126,74,63.00,117.0,1050,117
9-5-9-21-732773474,100097,125,28,22.4,DcrJEYMwDABAy8iXLMkXZdADTfBmJiXkR4mUkQIy1IDfu3isz/XfvvfnZ8AuiA48ggkxQTTBUmZRLVpZqQhVIbRxAUCYlalMTbWJ89J7Hz6PwUkb50bowmxmP18=,144,56,72.00,84.0,254,84
8-8-3-21-2034792866,100064,125,18,14.4,Fcy5AQIxDABByZYsyc/5pQlC6qAlaIGcNqC8CzD57NLz8nm09/17PQEdOI/EwYmC9xaDY0ILkR2iUHIQmSWDlM0kq+oRq2JL3TooVoZmUUoInHPenfH4n8rmlmPrlf0USaWOtUa1ojoPqkYH0Fzwuv0A,182,18,91.00,126.0,1848,126
9-3-9-15-1133620942,100037,125,44,35.2,Dcu5DYAwEATA9fnOu37IKYYIiVIoCImAEuiMNnA60vi+vOv1ndtzI1l2BKLQQrSKGqDUOkgqM6Y29T4avCiZeU4FHEMRpjrrsf4=,92,108,46.00,66.0,318,66
7-2-4-19-1109419294,100083,125,48,38.4,Dce5EYQwDABAfZaFJX/0QheERFTDzOXXACXR0IVHtivnem/P59h/FyCxgCRCVdAMYgtgWfCNOaC/yuFVigenaIB9kBZzBIvMyEokY1pvM2oNb93m0MTCBN/jDw==,178,22,89.00,90.0,643,90
9-5-1-14-1975175173,100051,125,66,52.8,DYy7FQIwEMNs3z8BlqFmIEaBhhUYkRFIqyfJn5fP7f29P/wFihBIk2BwFz3CM6uYaaaO6UlFrTZG4GiU70kw9goiZ5ZORoO5dboOqjpa7xCr6WcMXH9/,197,3,98.50,105.0,2034,105
9-8-7-18-1948295917,100079,125,70,56,Dcy5EYAwDABByXr8yW9GTdRAG1RBTkhJVEIPOL3ZOd7n/W3vdZIBAjpiFvUhJoRsRaxqadJlcFQXJEJnLaFx1SHeksMEuGTunpDbqkAIa3Q8Pw==,154,46,77.00,75.0,386,75
5-7-3-9-365021779,200007,125,83,66.4,Dcc5EYBAEATA2Z3ZBykYoAobCMHBRWgjQQgBKrioq7Uv43iud91umFPhRoTAKSGlxGA1Ys7ojrBsIbOQ1Wkhx/n9,200,0,100.00,57.0,276,57
5-4-4-13-1997330987,100090,124,33,26.61,DcpJDYBAEADBmZ374MkLEVjAAvJIsIEUnCCA/XUqzefy7O92r8cFgAMJWERtuBqZRTK7GBELCU0DRnWZIwPA0BlagT3cqzMyIrOrK7K7Cr7lBw==,186,14,93.00,81.0,1051,81
3-2-2-20-1071731048,500001,124,12,9.68,Dcq5DcMwDAVQSpQ+dVJXGrsMMk8GyMQBAnggu3Fe/dz78ft8r+15nGQsOw+GCCTElEstsKosuYpL0aFKTIGhrQMcrBgdnnprPXsyRaBjzvH/a65Fr/0G,200,0,100.00,78.0,392,78
8-7-8-14-880170171,100020,124,56,45.16,FcrBEYAwCARAQg4SIPhPO469WJ8f+zAVqd+dxb4d51r3JQ8VroCIciOhgs7mIaGiDQ6tXrrFb87xDdUR5FnNDNkHjyTK+QI=,174,26,87.00,66.0,181,66
9-5-1-17-465729592,100088,124,29,23.39,Dcs5AYAwEATAvW/zIwIRaEAQerBBiwLMUNCS6cf3Jb73Xq9jg0BNXMMgZEq5pNoYWnMpfYzRCDPUzN4ZrpOHsoXNJxADKSIBPOcP,80,120,40.00,72.0,1604,72
7-8-8-14-1731635165,100067,124,52,41.94,DcZJEcIAEACwve9FIBJAA0paHQjBAn800E8mcr+9z88jjt8LAAmYL0hUSMRYxK+aWzCGArglWURxSFYWtrpDZ8LEJE7V4ChPrdL27rotdDc8v38=,188,12,94.00,90.0,1198,90
8-6-2-24-125352876,100096,124,13,10.48,Dca7FcIwDABAfSxbkv82LxvQpc4gTEDJvGzAJuSqC+/HcR3n9/n6ABICBxQS5AgE4Y5A0mCAbpTFGKiosqJYVPeaG2d0TqWPOFfvew6FoatCQfdGaS4lsl23WoNf/QM=,54,146,27.00,96.0,1385,96
7-5-3-17-1829690741,100086,124,43,34.68,DYzJDQIwDMCSJs3VNikSE/CFN5uxDIswA4OwB5X8sGTJ/Lr8rvfn7f34ADYiJESGowDA1FrHxsSHE6ULNLWOHsN0DlmZ4lXWwNVTatZgyr0rxp5Kwp1DLAzHyq3YY6cEaq0B29zl3CG/fw==,66,134,33.00,117.0,2239,117
7-1-5-24-2044812687,100070,124,24,19.35,DcxJAQIxDADAnE2abnqtARAAD/TwQQTCkIQTGAEj7/Pxvdyvz9sHkJhRWECBRIoRCBiJEzEoUq1c0DzaEdagcFGw7BU1crSjq89prNkHTh9rpa89j4DInsg0PUT+WfTdw0tBjukb4Xz9AA==,176,24,88.00,117.0,2552,117
7-7-5-19-1800603109,100069,124,17,13.71,DcS7AUIhDADAACE/IIG8yn1cwxUsXMElnMuJ9IrD13V/nI8+b18otQG2/xWwEzCKVFJjRNKCdcwKvdES8thc+snNY05JM87Zdc9FXODEiNZpldY5heKMpeGh03yYLycdnLY4XYDfPw==,193,7,96.50,114.0,1477,114
7-9-3-22-1828948286,100061,124,50,40.32,Dce5EQIxDABAyZKtx79NB/RGRhmENAEJM7TD9cNttny7PH/34/t6fAARw4koBOSYRBHOAZozOmZKpTqrNFB2MomxZypjzrGa72GBZYExioKoshWufe7aVlfdIprdJDFc338=,188,12,94.00,102.0,983,102
3-2-5-16-1168779549,100036,124,70,56.45,BcE5AcMwDABAfbYky7LCopwKIwgyZQmSIMhcOMXQpXfy3u79+n6O5wRAIkaRJthFzXlwmEyURAZwInWzUF+eZapECWBYqra6VQbPphnlgz0q3fqIast1wuv3Bw==,147,53,73.50,90.0,739,90
8-8-4-18-1901312975,100063,123,18,14.63,Fcq7DUIxDABA/+LEjuMkjIPEAFSUtEhsQ8dyVAzDoz2dPE/fz/V2f7xfgEDAAiQoQgyFiJC1VhHAZn540641RrrMLM2JDwdS4xGRfaxc/r/FfE/vudsKQFTlbWEzA86XHw==,182,18,91.00,99.0,636,99
7-3-3-12-1460868201,200024,123,54,43.9,DcWxEYQwDATAO51kyfZXRUT88Q8F0AEdUAGF0Q8z/Cbr6+fc7ue77BcIE5yQ/TeQZlCYi9ayilndxvQR7NGUNamAOxMzo1WUvGskfscL,165,35,82.50,72.0,223,72
9-6-3-14-742420554,100023,123,62,50.41,FcJJDYBAEATA7jl2Zg/s8MMGMnCFBv5YICG4gZAqm6f13a/z3h7wJ6rmJcBMImpVMmrrQEint2GAl9JpMVrkEBzLBw==,164,36,82.00,54.0,135,54
8-6-6-21-1192627533,100089,123,39,31.71,DcuxFQIhDADQQHKEBI5AwMJRfC6gq1i6hJ2b3gB2Xv8/vS/P3+d+u34PCBCRtpiYkICRswBEhaI1bbQ3Nm7MiDUErXgaViRKO6r0kVp3aWf2yN68AMw1fHUvcXSrUFfbjVI2m1mndKldDF6PPw==,116,84,58.00,114.0,1066,114
9-6-6-13-850929096,100084,123,51,41.46,Hcy5FUEBFAXA+/ZVB35PqiBXhS7kjjIUxpFMOHo9vV/nz/32eIJYlAhiHsmSalFtls6w7PTxjHZX2erJ6qSqtXBEb1fNT5+toSiQ/C8BM4TBrpqYFWIcly8=,194,6,97.00,102.0,5465,102
5-4-2-21-1679386149,400012,123,47,38.21,BcFZDUIxEADAPXvstq8nCQKQAYJIkEKwx88TgQRm5HV53K/v7/P2ASRmUQhRIWU1NDJnYuNopUo9BKO3KtgtMTDkLqapxtFqOUac7m3tA2sfEotRykSwdIa0dwpTlxq4AysoMpy/Pw==,150,50,75.00,108.0,1025,108
9-8-2-14-1170421176,100080,123,33,26.83,DYvLDYAwDMXyeWmbhFFYA6nr9MiVKRiGSViDBYjlkyXj2K77/Z41JzGxqCiDzKwBfQy4t6ISBSAJMQ91ZyZl7Rgpkd5Vaqi/3M8f,123,77,61.50,69.0,560,69
3-9-8-16-820103229,100050,122,60,49.18,DcWxAQIhEATAhV3gDg6+hm/C1A4++8AKbMp+rMlMkhldx/04v6/2/CBlqlSymUt9NDBxFMLcTNgEVGIkVTTlbuY+Oz0sgllExfI1IffY/d5/,175,25,87.50,78.0,1176,78
8-4-2-14-1005673411,100088,122,42,34.43,Dce7EYNAEATR2Znd2/uRBEEQAwEpN7kEhIeBI0NndNVrP7d4n2v/fg4YtQIhp2hBFJMhHay0NJevV6NCraDn8DlGtFkzyvTofSGB+/cH,141,59,70.50,72.0,996,72
2-7-5-15-839304209,200053,122,53,43.44,FcU7AYQwEATQ2WSyO/nQoAoDyEIIPuhpkQAq7qB5j8v0zNd+Hr8NljILCQI0N5iHPp1WaFHpjWhdbiVljAqNOtQiclJEdKm/C/f6Bw==,200,0,100.00,72.0,480,72
8-3-7-17-2010310274,100050,122,49,40.16,Dcq5AYMwEATAvdNKq19uwU2QEpOQEdCb+3EhbsRMPDxf1/b+3to/MHc3WDBnTCkBQi5VmRJr804Vehv5Oc8MYXZGao5FwKzApDVXrF2DDcfvDw==,161,39,80.50,78.0,864,78
4-8-7-21-761526990,100078,122,34,27.87,Dci5FYMwEAXAv7qvvwLJlEEnJDznroKUGtyee3FiTzjufFzf+/Xc3wfEWOdDjBbiYFMuVUpDgIgHE1NmdSIIkaJqui7rmIVKPzmb6VjlX4uO3CsH0fDZfg==,117,83,58.50,81.0,821,81
9-2-1-21-646048621,100060,121,50,41.32,Dcu5DYRAEETR6qN6bmzywAMLhwiQCAB7M9sgGX3vS8/v5b/uv2N7Toia0wxqpEbKRdwRAtTm2uuoYw4dAWOYzFx6L2GTQTAdlR4l5dYyhZaouN4P,180,20,90.00,84.0,835,84
8-5-9-16-1914440053,100013,121,71,58.68,DcPLDYQwDAXAl8TOs/PlQBccaYIrJSFRENVsG9sCjDRyLP/9t+XnvBEikEQF+Usz98LaGGpG6co0ZMowdTHrxXMNjVMZUx9Uh02PBNFwrS8=,197,3,98.50,72.0,229,72
1-7-8-16-946343604,100075,121,31,25.62,FYu7DYAwEMXeJffNhcUQJWIJGjo2YAMmQ+xD6GxL5nXan3m7j+UEoaDUUglExKKqlYRhxuph4dGambk3zwz/wUaLIb2JqUgkk4wZ0VnRkYzr/QA=,165,35,82.50,84.0,4195,84
1-6-2-25-1721442480,100061,121,38,31.41,BcG5EQIxEATA0TNarZ7TS4pgEQYmSWBRRSqYRz50++vled5/n9fjDWONcc47kAjBSqRV71MuYBKwkjkgZinpSDWz9a5D5ioTISKLEjUB0lAOjpKoe/W5GVbLMZQRdesR8b39AQ==,192,8,96.00,102.0,910,102
2-9-7-14-1293152317,100010,121,33,27.27,DcixDYAwDARAv52PEzvzIDFIenahQmIDNqBmQNKdrmzj2O/ze+clgJrCioFUstK1VfbFWCk9GpoDmanOjqgmKPKMHw==,200,0,100.00,54.0,186,54
8-3-2-16-933395303,100041,121,34,28.1,Dci5EYAwDARA3Umy/NMEjUBEkfRHAQw5ntlo7dpuxfm9+yEgIbqYuaYQcTUaYLkgSamtj5UQFuNI0Bi9tzojqpKcaHkye8jjPw==,96,104,48.00,72.0,184,72
8-5-8-23-172871778,400014,121,29,23.97,DcbJFUIhDADAEMKWwIew2ZAlWIXPEjxbgWVZihV4Uec0dDtd35/n93U/g0FLBskCwD/OoqdgAGMiFpNLQTqqgYZBWYUl5W7LOLxIaxxlShLNnNNcNu3sp/Ne9ooh9LoT69Dag4Y18uEdXB4/,62,138,31.00,108.0,1771,108
6-8-9-14-1463785407,200013,121,68,56.2,DcixFYAwCAVA+EAgIbFJ7Sa+5xSu4hQ2lg7mPnrl6b7cfsztvF5iiFphj2otA0KJbsNQe6T+7Y2lAgIl5kSRLKObjGwRMHrWDw==,137,63,68.50,63.0,190,63
8-7-3-20-252761007,100051,120,19,15.83,BcHJAQIhDADAJEAurgBbhH/flmERlqIfW7BUZ/Lr+o7P7/7Ib0AgpES5EDIBF0kqqlDIFEHEPUku1blBHzZHhISunXEqMDMWWb5phrpY39ZOFQVAbLHoUC2G3nXYCbg9/w==,46,154,23.00,105.0,870,105
8-1-6-17-1477506021,200024,120,61,50.83,DcpJDYBAFATRv9E9K3giHDgjAAEoQQHC8EPCXCp5ScU+3+f7Hev1iJp5yOSBESaDWs5kcHJASlVriiz0ThiQ6hgYjeHWW5JatA8X2ZYf,149,51,74.50,72.0,213,72
5-4-9-18-1324428633,400011,120,16,13.33,BcHLFQIhDABASEKAfCCxAcuwAwvwaFP25WVvW86+naHv40nH9f+dn1IBqSGXzjgmAhZgEWpqPtZ2CXax5Mi9nCUDwmNAbKw5c81eewSou4lpipuaqIc2kvJ+3Q==,22,178,11.00,90.0,514,90
4-7-2-13-838269404,100079,120,61,50.83,BcFRFUIxDAPQpkvSdRsCeJbwgwr+UcVBCR64l4/b+3f/vp7jBBIxSNmmErRYs1W93IMmK7HPPtbu00gpIoaQnEtArZ4OuCrj+vwB,173,27,86.50,75.0,768,75
6-1-3-21-897229211,100051,120,23,19.17,FcY5FQIwEAXA/XvnTrBCjSCkQIMFLFDijsdUo/fLaz7f15s+CCwKwMTJ/yclYRcyNWJhRVCWahTp2rzAe4VySXSNMQPNsjDJWiwVPWbZyHH2cS97pKwzo6k50+f7Aw==,162,38,81.00,105.0,1541,105
6-7-6-15-873237745,100058,120,60,50,BcE5EQJBEADA+Xb+2UvQgYRLzgKFORSQoQcnZHTL43jdfu/78/MFJEYgIBSmpSxgHlnSPNETkZ1UQmWWKmra5aEOS6ocYfZOx9HgZkvvbbMG4bz+,166,34,83.00,84.0,604,84
6-4-1-21-1255563448,100087,120,41,34.17,DcNJEQIxEADAuY9kZhMeqEANJnghAiHoWANIwgB0Vcvjcr2/zuf3fAMCIgGwoDKYGSEwgiALoP9LIHuOmTlGqWkbQRBT1rGm91wHJBlWV3QQbhc9trbTXhSeClUd8Ln9AA==,195,5,97.50,102.0,1435,102
6-6-6-14-1023056531,100071,120,55,45.83,BcFbFYQwDAXA3LyapM2q4aABDWjBAFKQgxz+dkaP3/PuZ3/3RmBhNR+RVWKg6au4jOEmRCXsnEZaI5Z0BBAJJDJ7jqZpC+HqQlf8AQ==,126,74,63.00,72.0,352,72
7-7-2-23-583667157,100069,120,27,22.5,Dcq3AcIwEADADwofJCu6YB/WYAUXTMMIzMNEuLviwvt8vsZHr8cPEIkDIGGElAU0JEZTl5hUMd2MgaN55FLFgQ8vQUzJpVlXLOPwbJjmGgeRZkghFmruU7ZX2+Xeutoyq2OL9D4Zvtcf,113,87,56.50,114.0,1155,114
7-5-1-13-1382499388,100072,120,69,57.5,DchBDYAwEATAve122ysJCYoQwhsJSEEAElDBB1Ewz9E67df9HOe8IIIBkGCJUCXM1s2e/9ujCL0Z6ZCijKyW3CyIowp4tw8=,183,17,91.50,63.0,458,63
8-5-6-18-1049047617,400017,120,15,12.5,DcmxFUIhDAXQlxASIJ8EnMHKuazsrV3CbdzA0oE8etsr99Pr9rhcn+c3iEBcGMKVGMzQWoqIKci4tD7YD0Gf3tSiYVjXyLC1106fLhU019Sj9iIWg+ho/M8ZuRlemXJ77bzRWtEZPRcS388P,80,120,40.00,117.0,560,117
2-1-2-18-1960590265,100096,119,30,25.21,DcyxEYRACEBRQGRdFoE1sAMzYzuwgavgQouwyqvoNvwzfx5/t/3az9/xeQARCCeeSYosDFWbNVvWWs20eSmhqqNBJZOVyMYbnmm2SioA4zSIcJm1dycK72HiMeBEBnjvPw==,116,84,58.00,96.0,1414,96
5-4-2-15-1947184706,100047,119,23,19.33,DcZbEYNAEATAndm523siIQIiAA1UIQNH2KAwgKLICP3V2pb1dx7fe/8YQJAOpWzhpSaYvNUIqQ8XMaK3OpSCxugzt5nfOoxFUkwWOMKu5w8=,87,113,43.50,72.0,1062,72
1-4-1-23-1144387329,100036,119,72,60.5,Dcc5AUIxFATAJLs/78jLhShEIAMFVDQoQQE1WqhwAdMNL6fn9fF93173lFMBj0pkgaSi/5gLvGYvzRuUTcOCEUeIAehGVFgbc6219yboEiRVxbWxj9n6HJbOnx8=,200,0,100.00,90.0,740,90
7-6-4-19-883165528,100069,119,18,15.13,DcvBAQIgCABAEFBQVKRXizRBa7RCj0bp1VxNVPc/fl3uj/Ox5/ULgFCgIBCUQoxcpJambFi5CUBvOAR9VuE1hnjfzVq32t3UA5jPMR2kEfofE7ESST/KmeE0l0XunHOP8OxztRzwvv0A,171,29,85.50,114.0,1371,114
1-6-8-13-133442016,100075,119,47,39.5,Dcq5DYRAEATAnt75L6JLAWEiksDBIxJMoiIh1i2Vbr/jXfb7XC8IOTgUKgJzwUAoLVFiYHlEJyvD29uyqlKmuVEawSyb0JKzVbZjLjqe/wc=,195,5,97.50,84.0,6176,84
3-1-4-23-861982335,400011,119,25,21.01,Dci7FcMgDABAEALERz9In51ceilPlAXSpMs4efGVh+fjiZ/f+/oeIUJCyAUrNeiD5giBG0hHhcpTIibMqUaZaqCGCM2H5m7uTIT3kMFyXlt4l7LVl7EIOIXX8Qc=,115,85,57.50,90.0,605,90
